name,address,postcode,phone,gender_profile,size,day_boarding_type,religious_affiliation
James Allen's Girls' School,"144 East Dulwich Grove, Dulwich, London, SE22 8TE",SE22 8TE,+44 (0)20 8693 1181,Girls only,1169,Day,All Faiths
Abingdon House School,"Broadley Terrace, Westminster, NW1 6LG",NW1 6LG,+44 (0)20 3750 5526,Coeducational,118,Day,Non-denominational
Al-Sadiq School,"126 Chevening Road, London, NW6 6TP",NW6 6TP,+44(0)20 7372 6760,Boys (some girls),192,Day,Islamic
Cambridge Tutors College,"Water Tower Hill, Croydon, Surrey, CR0 5SX",CR0 5SX,020 8688 5284,Coeducational,70,"Day, Weekly/Flexible Boarding, Full Boarding",All Faiths
Cumnor House School,"168 Pampisford Road, South Croydon, Surrey, CR2 6DA",CR2 6DA,+44 (0)20 8660 3445,Boys (some girls),406,Day,All Faiths
Wetherby Senior School,"100 Marylebone Lane, London, W1U 2QU",W1U 2QU,020 7535 3530,Boys only,419,Day,All Faiths
Naima Jewish Prep School,"21 Andover Place, Maida Vale, NW6 5ED",NW6 5ED,+44 (0)20 7328 2802,Coeducational,127,Day,Jewish
Al-Zahra School,"134 Salusbury Road, London, NW6 6PF",NW6 6PF,+44(0) 207 372 7706,Girls only,115,Day,Islamic
Elmhurst School,"44/48 South Park Hill Road, South Croydon, CR2 7DW",CR2 7DW,+44 (0)20 8688 0661,Boys only,116,Day,All Faiths
Alleyn's School,"Townley Road, Dulwich, SE22 8SU",SE22 8SU,020 8557 1500,Coeducational,1104,Day,Church of England
Alleyn's Junior School,"Townley Road, Dulwich, SE22 8SU",SE22 8SU,+44 (0)20 8557 1519,Coeducational,294,Day,Christian
"Francis Holland School, Regent's Park","39 Ivor Place, London, NW1 6XR",NW1 6XR,+44 (0)20 7723 0176,Girls only,554,Day,Church of England
Queen's College London,"43-49 Harley Street, London, W1G 8BT",W1G 8BT,+44 (0)20 7291 7000,Girls only,632,Day,Non-denominational
Abercorn School,"28 Abercorn Place, St John's Wood, London, NW8 9XP",NW8 9XP,020 7286 4785,Coeducational,181,Day,Non-denominational
Brondesbury College,"8 Brondesbury Park, London, NW6 7BT",NW6 7BT,020 8830 4522,Boys only,119,Day,Islamic
Arco Academy,"Camberwell Leisure Centre, Artichoke Place, London, SE5 8TS",SE5 8TS,0203 189 1193,Coeducational,7,Day,All Faiths
Chinthurst School,"52 Tadworth Street, Tadworth, Surrey, KT20 5QZ",KT20 5QZ,+44 (0)1737 812011,Coeducational,282,Day,All Faiths
DLD College London,"199 Westminster Bridge Road, London, SE1 7FX",SE1 7FX,+44 (0)20 7935 8411,Coeducational,373,"Day, Full Boarding",All Faiths
Southbank International (Westminster),"63-65 Portland Place, Westminster, W1B 1QR",W1B 1QR,+44 (0)20 7436 9699,Coeducational,510,Day,All Faiths
Portland Place School,"56-58 Portland Place, London, W1B 1NJ",W1B 1NJ,+44 (0)20 7307 8700,Coeducational,222,Day,Non-denominational
Arnold House School,"1-3 Loudoun Road, St John's Wood, NW8 0LH",NW8 0LH,+44 (0)20 7266 4840,Boys only,369,Day,Church of England
The American School in London,"1 Waverley Place, London, NW8 0NP",NW8 0NP,0207 4491200,Coeducational,1399,Day,All Faiths
Oakwood School,"Lloyd Park, Coombe Road, Croydon, Surrey, CR0 5RD",CR0 5RD,020 8668 8080,Coeducational,154,Day,Roman Catholic
"Octavia House Schools, Essex","High Street, Great Baddow, Chelmsford, Essex, CM2 7HH",CM2 7HH,020 3651 4396,,,,
Sydenham High School GDST,"19 Westwood Hill, Sydenham, SE26 6BL",SE26 6BL,+44 (0)20 8557 7000,Girls only,725,Day,Non-denominational
Ecole Jeannine Manuel,"43-45 Bedford Square, Bloomsbury, London, WC1B 3DN",WC1B 3DN,+44 (0)20 3829 5970,Coeducational,596,Day,Non-denominational
The Royal Ballet School,"46 Floral Street, Covent Garden, WC2E 9DA",WC2E 9DA,+44 (0)20 7836 8899,Coeducational,221,Full Boarding,All Faiths
Saint Christina's School,"25 St Edmund's Terrace, St John's Wood, London, NW8 7PY",NW8 7PY,+44 (0)20 7722 8784,Coeducational,167,Day,Roman Catholic
Staines Preparatory School,"3 Gresham Road, Staines-upon-Thames, Surrey, TW18 2BT",TW18 2BT,+44 (0)1784 450909,Coeducational,305,Day,Non-denominational
"Abingdon House School, Purley","59 Godstone Road, , Purley, CR8 2AN",CR8 2AN,2080922080,,,,
The Mulberry House School,"7 Minster Road, West Hampstead, NW2 3SD",NW2 3SD,020 8452 7340,Coeducational,195,Day,All Faiths
Broadhurst School,"19 Greencroft gardens, London, NW6 3LP",NW6 3LP,020 7328 4280,Coeducational,120,Day,All Faiths
Guildhouse School,"43-45 Bloomsbury Square, London, WC1A 2RA",WC1A 2RA,+44 (0)20 7841 1580,Coeducational,181,"Day, Full Boarding",Non-denominational
The Cedars School,"147 Central Hill, London, SE19 1RS",SE19 1RS,+44 (0)20 8185 7770,Boys only,263,Day,Roman Catholic
South Hampstead High School GDST,"3 Maresfield Gardens, Hampstead, NW3 5SS",NW3 5SS,+44 (0)20 7435 2899,Girls only,949,Day,Non-denominational
UCS Pre-Prep,"36 College Crescent, Hampstead, London, NW3 5LF",NW3 5LF,020 7722 4433,Boys only,96,Day,All Faiths
Trevor-Roberts School,"55-57 Eton Avenue, London, NW3 3ET",NW3 3ET,020 7586 1444,Coeducational,169,Day,Non-denominational
St Christopher's School,"71 Wembley Park Drive, Wembley, HA9 8HE",HA9 8HE,+44 (0)20 8902 5069,Coeducational,98,Day,All Faiths
Buxlow Preparatory School,"5-6 Castleton Gardens, Wembley, HA9 7QJ",HA9 7QJ,020 8904 3615,Coeducational,90,Day,All Faiths
Sir William Perkins's School,"Guildford Road, Chertsey, Surrey, KT16 9BN",KT16 9BN,+44 (0)1932 574900,Girls only,573,Day,Non-denominational
North Bridge House Nursery & Pre-Prep Schools,"33 Fitzjohn’s Avenue, Hampstead, London, NW3 5JY",NW3 5JY,020 7267 6266,Coeducational,302,Day,Non-denominational
Hall School,"23 Crossfield Road, Hampstead, NW3 4NU",NW3 4NU,+44 (0)20 7722 1700,Boys only,469,Day,Church of England
Hereward House School,"14 Strathray Gardens, London, NW3 4NY",NW3 4NY,+44 (0)20 7794 4820,Boys only,172,Day,All Faiths
North Bridge House Prep School,"1 Gloucester Avenue, London, NW1 7AB",NW1 7AB,020 7267 6266,Coeducational,394,Day,All Faiths
Trinity School,"Shirley Park, Croydon, Surrey, CR9 7AT",CR9 7AT,+44 (0)20 8656 9541,Boys only (co-ed sixth form),1053,Day,Church of England
London Christian School,"40 Tabard Street, London, SE1 4JU",SE1 4JU,020 3130 6430,Coeducational,118,Day,Christian
Southbank International (Hampstead),"16 Netherhall Gardens, Hampstead, NW3 5TH",NW3 5TH,+44 (0)20 7431 1200,Coeducational,168,Day,Non-denominational
Sarum Hall School,"15 Eton Avenue, Belsize Park, NW3 3EL",NW3 3EL,+44 (0)20 7794 2261,Girls only,185,Day,Church of England
City of London School,"107 Queen Victoria Street, London, EC4V 3AL",EC4V 3AL,+44 (0)20 3680 6300,Boys only,1045,Day,Non-denominational
St Mary's School Hampstead,"47 Fitzjohn's Avenue, Hampstead, NW3 6PG",NW3 6PG,+44 (0)20 7435 1868,Girls only,206,Day,Roman Catholic
Hampstead Fine Arts College,"Centre Studios, 41 - 43 Englands Lane, London, NW3 4YD",NW3 4YD,+44 (0)20 7586 0312,Coeducational,227,Day,All Faiths
The Cavendish School,"31 Inverness Street, Camden, London, NW1 7HB",NW1 7HB,+44 (0)20 7485 1958,Girls only,216,Day,All Faiths
Lyceé International de Londres Winston Churchill,"54 Forty Lane, Wembley, HA9 9LY",HA9 9LY,+44 (0)20 3824 4900,Coeducational,840,Day,Non-denominational
Royal Russell School,"Coombe Lane, Croydon, CR9 5BX",CR9 5BX,+44 (0)20 8657 4433,Coeducational,1186,"Day, Weekly/Flexible Boarding, Full Boarding",Church of England
Orley Farm School,"South Hill Avenue, Harrow on the Hill, Harrow, HA1 3NU",HA1 3NU,+44 (0)20 8869 7606,Coeducational,513,Day,Non-denominational
"University College School, Hampstead","Frognal, Hampstead, NW3 6XH",NW3 6XH,+44 (0)20 7435 2215,Boys only (co-ed sixth form),947,Day,Non-denominational
Devonshire House Preparatory School,"2 Arkwright Road, Hampstead, NW3 6AE",NW3 6AE,+44 (0)20 7435 1916,Coeducational,561,Day,Non-denominational
Box Hill School,"Old London Road, Mickleham, Dorking, Surrey, RH5 6EA",RH5 6EA,+44 (0)1372 373382,Coeducational,404,"Day, Weekly/Flexible Boarding, Full Boarding",All Faiths
St Paul's Cathedral School,"2 New Change, London, EC4M 9AD",EC4M 9AD,+44 (0)20 7248 5156,Coeducational,269,"Day, Full Boarding",Church of England
St Christopher's School,"32 Belsize Lane, Hampstead, NW3 5AE",NW3 5AE,+44 (0)20 7435 1521,Girls only,250,Day,Non-denominational
St Anthony's School For Boys,"90, Fitzjohn's Ave, Hampstead, London, NW3 6NP",NW3 6NP,+44 (0)20 7435 3597,Boys only,275,Day,Roman Catholic
"St Margaret's School, Hampstead","18 Kidderpore Gardens, Hampstead, NW3 7SR",NW3 7SR,+44 (0)20 7435 2439,Girls only,166,Day,All Faiths
The Village Prep School,"2 Park Hill Road, Belsize Park, London, NW3 2YN",NW3 2YN,2074854673,Girls only,73,Day,Non-denominational
TASIS The American School in England,"Coldharbour Lane, Thorpe, Surrey, TW20 8TE",TW20 8TE,01932 565252,Coeducational,654,"Day, Weekly/Flexible Boarding, Full Boarding",Non-denominational
North Bridge House Senior Hampstead,"65 Rosslyn Hill, Hampstead, London, NW3 5UD",NW3 5UD,020 7267 6266,Coeducational,470,Day,Non-denominational
University College School Junior Branch,"11 Holly Hill, Hampstead, London, NW3 6QN",NW3 6QN,+44 (0)20 7435 3068,Boys only,250,Day,Non-denominational
Hampstead Hill School,"St Stephen's Hall, Pond Street, Hampstead, London, NW3 2PP",NW3 2PP,+44(0)20 7435 6262,Coeducational,389,Day,Non-denominational
Charterhouse Square School,"40 Charterhouse Square, London, EC1M 6EA",EC1M 6EA,020 7600 3805,Coeducational,253,Day,All Faiths
City of London School For Girls,"St Giles' Terrace, Barbican, The City, EC2Y 8BB",EC2Y 8BB,+44 (0)20 7847 5500,Girls only,739,Day,Non-denominational
Heathside Preparatory School,"84A Heath Street, London, NW3 1DN",NW3 1DN,+44(0)203 058 4011,Coeducational,193,Day,All Faiths
Dallington School,"8 Dallington Street, London, EC1V 0BW",EC1V 0BW,+44 (0)20 7251 2284,Coeducational,61,Day,Non-denominational
The Gower School,"10 Cynthia Street, London, N1 9JF",N1 9JF,+44 (0)20 7278 2020,Coeducational,283,Day,All Faiths
Harrow School,"5 High Street, Harrow on the Hill, HA1 3HP",HA1 3HP,+44 (0)20 8872 8000,Boys only,831,Full Boarding,Church of England
John Lyon School,"Middle Road, Harrow-on-the-Hill, London, HA2 0HN",HA2 0HN,+44 (0)20 8515 9400,Coeducational,865,Day,Non-denominational
La Petite Ecole Bilingue,"22 Vicar's Road, London, NW5 4NL",NW5 4NL,0207 284 2620,,,,
Croydon High School GDST,"Old Farleigh Road, Selsdon, South Croydon, Surrey, CR2 8YB",CR2 8YB,+44 (0)20 8260 7500,Girls only,750,Day,All Faiths
"Manor House School, Bookham","Manor House Lane, Bookham, Surrey, KT23 4EN",KT23 4EN,+44 (0)1372 458538,Girls (some boys),278,Day,Church of England
David Game College,"31 Jewry Street, London, EC3N 2ET",EC3N 2ET,0207 221 6665,,,,
St Dunstan's College,"Stanstead Road, Catford, SE6 4TY",SE6 4TY,+44 (0)20 8516 7200,Coeducational,1127,Day,Church of England
"Red Balloon Centre, NW London","13 Kenton Road, Harrow, HA1 2BW",HA1 2BW,+44 (0)20 8864 6433,Coeducational,42,Day,All Faiths
The Lyceum,"59-65 Worship Street, London, EC2A 2DU",EC2A 2DU,+44 (0)20 7247 1588,Coeducational,120,Day,All Faiths
St Anthony's School for Girls,"94-96 North End Road, Golders Green, London, NW11 7SX",NW11 7SX,020 3869 3070,Girls (some boys),94,Day,Roman Catholic
The King Alfred School,"Manor Wood, 149 North End Road, Golders Green, NW11 7HY",NW11 7HY,+44 (0)20 8457 5200,Coeducational,693,Day,Non-denominational
St Helen's College,"Parkway, Hillingdon, Uxbridge, UB10 9JX",UB10 9JX,+44 (0)1895 234371,Coeducational,370,Day,Christian
Harmony Primary School,"80 Gayton Road, Harrow, HA1 2LS",HA1 2LS,020 4518 5222,,,,
Merrywood House Independent School,"The Old Pheasantry, Merrywood Grove, Tadworth, Surrey, KT20 7HF",KT20 7HF,01737 336352,,,,
Egham Park School,"Waspe Farm, 68 Station Road, Egham, Surrey, TW20 9LF",TW20 9LF,01784 913929,Coeducational,,Day,All Faiths
Glenesk School,"Ockham Road North, East Horsley, Leatherhead, Surrey, KT24 6NS",KT24 6NS,+44 (0)1483 282329,Coeducational,126,Day,All Faiths
ACS Hillingdon International School,"Hillingdon Court, 108 Vine Lane, Hillingdon, UB10 0BE",UB10 0BE,+44 (0)1895 259771,Coeducational,590,Day,Non-denominational
London Scandinavian School,"3 Highbury Crescent, London, N5 1RN",N5 1RN,7933619674,Coeducational,22,Day,All Faiths
St David's Prep,"Justin Hall, Beckenham Road, West Wickham, BR4 0QS",BR4 0QS,+44 (0)20 8777 5852,Coeducational,187,Day,All Faiths
St Christopher's The Hall School,"49 Bromley Road, Beckenham, Kent, BR3 5PA",BR3 5PA,+44 (0)20 8650 2200,Coeducational,231,Day,Non-denominational
OneSchool Global UK Kenley Campus,"Victor Beamish Avenue, Caterham, Surrey, CR3 5FX",CR3 5FX,+44 (0)1883 338634,Coeducational,108,Day,Christian
Buckingham Preparatory School,"458 Rayners Lane, Pinner, HA5 5DT",HA5 5DT,+44 (0)20 8866 2737,Boys only,110,Day,Non-denominational
Alpha Prep School,"21 Hindes Road, Harrow, HA1 1SH",HA1 1SH,+44 (0)20 8427 1471,Coeducational,138,Day,Christian
North Bridge House Senior Canonbury,"6-9 Canonbury Place, London, N1 2NQ",N1 2NQ,020 7267 6266 option 7,Coeducational,247,Day,Non-denominational
Rosemary Works School,"1 Branch Place, London, N1 5PH",N1 5PH,020 7739 3950,Coeducational,64,Day,All Faiths
Bishop Challoner School,"228 Bromley Road, Shortlands, Bromley, BR2 0BS",BR2 0BS,+44 (0)20 8460 3546,Coeducational,301,Day,Roman Catholic
Brampton College,"Lodge House, Lodge Road, Hendon, NW4 4DQ",NW4 4DQ,0208 203 5025,Coeducational,236,Day,All Faiths
North London Grammar School,"110 Colindeep Lane, London, NW9 6HB",NW9 6HB,020 8205 0052,,,,
Annemount School,"18 Holne Chase, Hampstead Garden Suburb, N2 0QN",N2 0QN,020 8455 2132,Coeducational,79,Day,All Faiths
Ripley Court School,"Rose Lane, Ripley, Woking, Surrey, GU23 6NE",GU23 6NE,+44 (0)1483 225217,Coeducational,175,Day,Interdenominational
Channing School,"The Bank, Highgate, London, N6 5HF",N6 5HF,+44 (0)20 8340 2328,Girls only,1007,Day,Interdenominational
Nancy Reuben Primary School,"48 Finchley Lane, Hendon, London, NW4 1DJ",NW4 1DJ,+44 (0)20 8202 5646,Coeducational,209,Day,Jewish
Highgate School,"North Road, Highgate , N6 4AY",N6 4AY,+44 (0)20 8340 1524,Coeducational,1932,Day,Church of England
St Paul's Steiner School,"St Paul's Church, 1 St Paul's Road, Islington, London, N1 2QH",N1 2QH,020 7226 4454,Coeducational,196,Day,All Faiths
Essendene Lodge School,"Essendene Road, Caterham, Surrey, CR3 5PB",CR3 5PB,+44 (0)1883 348349,Coeducational,112,Day,All Faiths
Hendon Preparatory School,"20 Tenterden Grove, Hendon, London, NW4 1TD",NW4 1TD,+44 (0)20 8203 7727,Coeducational,166,Day,Non-denominational
Kerem School,"Norrice Lea, Hampstead Garden Suburb, London, N2 0RE",N2 0RE,+44 (0)20 8455 0909,Coeducational,171,Day,Jewish
The Children's House School,"King Henry's Walk, London, N1 4PB",N1 4PB,+44 (0)20 73542113,Coeducational,109,Day,Non-denominational
Darul Hadis Latifah School,"1 Cornwall Avenue, London, E2 0HW",E2 0HW,020 8983 3663,,,,
Odyssey House School,"2c Northwood Road, Highgate, London, N6 5TN",N6 5TN,+44(0)20 8348 8009,Coeducational,18,Day,Non-denominational
Avenue Pre-Preparatory School & Nursery,"2 Highgate Avenue, Highgate, London, N6 5RX",N6 5RX,020 8348 6815,Coeducational,88,Day,All Faiths
Micklefield School,"10-12 Somers Road, Reigate, Surrey, RH2 9DU",RH2 9DU,+44 (0)1737 224212,Coeducational,235,Day,Church of England
Reddiford School,"36/38 Cecil Park, Pinner, HA5 5HH",HA5 5HH,+44 (0)20 8866 0660,Coeducational,251,Day,Church of England
St John's Beaumont,"Priest Hill, Windsor, Berkshire, SL4 2JN",SL4 2JN,+44 (0)1784 432428,Coeducational,220,"Day, Weekly/Flexible Boarding, Full Boarding",Roman Catholic
Greenfield,"Old Woking Road, Woking, Surrey, GU22 8HY",GU22 8HY,+44 (0)1483 772525,Coeducational,345,Day,All Faiths
ACS Egham International School,"Woodlee, London Road, Egham, Surrey, TW20 0HS",TW20 0HS,+44 (0)1784 430800,Coeducational,502,Day,Non-denominational
"St Teresa's, Effingham","Effingham Hill, Dorking, Surrey, RH5 6ST",RH5 6ST,+44 (0)1372 452037,Girls only,644,"Day, Weekly/Flexible Boarding, Full Boarding",Roman Catholic/Christian
Langley Hall Arts Academy,"Symphony House, 4 Waterside Court, Waterside Drive, Langley, Berkshire, SL3 6EZ",SL3 6EZ,01753 580516,Coeducational,11,Day,All Faiths
Oakhyrst Grange School,"160 Stanstead Road, Caterham, Surrey, CR3 6AF",CR3 6AF,+44 (0)1883 343344,Coeducational,152,Day,Interdenominational
Bishopsgate School,"Englefield Green, Egham, Surrey, TW20 0YJ",TW20 0YJ,+44 (0)1784 432109,Coeducational,384,Day,Christian
Gatehouse School,"Sewardstone Road, Victoria Park, London, E2 9JG",E2 9JG,020 8980 2978,Coeducational,524,Day,Christian
Cranmore School,"Epsom Road, West Horsley, Surrey, KT24 6AT",KT24 6AT,+44 (0)1483 280340,Coeducational,502,Day,Roman Catholic/Church of England
Reigate St Mary's Preparatory and Choir School,"Chart Lane, Reigate, Surrey, RH2 7RN",RH2 7RN,+44 (0)1737 244880,Coeducational,402,Day,All Faiths
Warlingham Park School,"Chelsham Common, Warlingham, Surrey, CR6 9PB",CR6 9PB,01883 626844,Coeducational,102,Day,All Faiths
Heath House Preparatory School,"37 Wemyss Road, Blackheath, London, SE3 0TG",SE3 0TG,020 8297 1900,Coeducational,126,Day,Non-denominational
Reigate Grammar School,"Reigate Road, Reigate, Surrey, RH2 0QS",RH2 0QS,+44 (0)1737 222231,Coeducational,846,Day,All Faiths
Caterham School,"Harestone Valley Road, Caterham, Surrey, CR3 6YA",CR3 6YA,+44 (0)1883 343028,Coeducational,999,"Day, Weekly/Flexible Boarding, Full Boarding",United Reformed Church
Hoe Bridge School,"Hoe Place, Old Woking Road, Woking, Surrey, GU22 8JE",GU22 8JE,+44 (0)1483 760018,Coeducational,474,Day,Non-denominational
Colfe’s Junior School,"Horn Park Lane, Lee, SE12 8AW",SE12 8AW,+44 (0)20 84638266,Coeducational,441,Day,Christian
Riverston School,"63-69 Eltham Road, Lee, SE12 8UF",SE12 8UF,+44 (0)20 8318 4327,Coeducational,179,Day,All Faiths
Colfe's School,"Horn Park Lane, Lee, SE12 8AW",SE12 8AW,+44 (0)20 8852 2283,Coeducational,839,Day,Church of England
Caterham Prep,"Harestone Valley Road, Caterham, Surrey, CR3 6YB",CR3 6YB,+44 (0)1883 342097,Coeducational,276,Day,United Reformed Church
Blackheath Prep,"4 St Germans Place, Blackheath, SE3 0NJ",SE3 0NJ,+44 (0)20 8858 0692,Coeducational,384,Day,Church of England/Interdenominational
North London Collegiate School,"Canons , Canons Drive, Edgware, HA8 7RJ",HA8 7RJ,+44 (0)20 8952 0912,Girls only,1101,Day,Non-denominational
Blackheath High School GDST,"27 Vanbrugh Park, Blackheath, SE3 7AG",SE3 7AG,+44 (0)20 8853 2929,Girls only,777,Day,All Faiths
The Pointer School,"19 Stratheden Road, Blackheath, SE3 7TH",SE3 7TH,+44 (0)20 8293 1331,Coeducational,339,Day,Christian
Dunottar School,"High Trees Road, Reigate, Surrey, RH2 7EL",RH2 7EL,+44 (0)1737 761945,Coeducational,400,Day,All Faiths
Greenwich Steiner School,"90 Mycenae Road, Greenwich, London, SE3 7SE",SE3 7SE,0208 8584404,Coeducational,180,Day,Non-denominational
Breaside Preparatory School,"41/43 Orchard Road, Bromley, BR1 2PR",BR1 2PR,+44 (0)20 8460 0916,Coeducational,379,Day,All Faiths
Norfolk House School,"10 Muswell Avenue, Muswell Hill, N10 2EG",N10 2EG,020 8883 4584,Coeducational,222,Day,Non-denominational
The Hawthorns School,"Pendell Court, Bletchingley, Surrey, RH1 4QJ",RH1 4QJ,+44 (0)1883 743048,Coeducational,504,Day,All Faiths
"St. Martin's School, Mill Hill","Mill Hill, London, NW7 3RG",NW7 3RG,020 8959 1965,,,,
Eton End School Trust (Datchet) Limited,"35 Eton Road, Datchet, Berkshire, SL3 9AX",SL3 9AX,+44 (0)1753 541075,Coeducational,208,Day,Christian
Mill Hill International,"Milespit Hill, Mill Hill, London, NW7 2RX",NW7 2RX,020 3826 3333,Coeducational,112,"Day, Weekly/Flexible Boarding, Full Boarding",Non-denominational
Halstead St Andrew's School,"Church Hill House, Wilson Way, Horsell, Woking, Surrey, GU21 4QW",GU21 4QW,+44 (0)1483 760943,Coeducational,316,Day,Christian
Bickley Park School,"24 Page Heath Lane, Bickley, Bromley, Kent, BR1 2DS",BR1 2DS,+44 (0)20 8467 2195,Boys (some girls),378,Day,Church of England
Eltham College,"Grove Park Road, Mottingham, SE9 4QF",SE9 4QF,+44 (0)20 8857 1455,Coeducational,1034,Day,Interdenominational
Mill Hill Pre-Prep - Grimsdell,"Winterstoke House, Wills Grove, Mill Hill, NW7 1QR",NW7 1QR,+44 (0)20 8959 6884,Coeducational,208,Day,Christian
Goodwyn School,"Hammers Lane, Mill Hill, NW7 4DB",NW7 4DB,+44 (0)20 8959 3756,Coeducational,189,Day,Non-denominational
Woldingham School,"Marden Park, Woldingham, Surrey, CR3 7YA",CR3 7YA,+44 (0)1883 349431,Girls only,580,"Day, Weekly/Flexible Boarding, Full Boarding",Roman Catholic
St Bernard's Prep School,"Hawtrey Close, Slough, Berkshire, SL1 1TB",SL1 1TB,+44 (0)1753 521821,Coeducational,222,Day,Roman Catholic
Faraday School,"Old Gate House, 7 Trinity Buoy Wharf, London, E14 0FH",E14 0FH,020 7719 9342,Coeducational,102,Day,Christian
Mill Hill School,"The Ridgeway, Mill Hill, NW7 1QS",NW7 1QS,+44 (0)20 8959 1176,Coeducational,875,"Day, Weekly/Flexible Boarding, Full Boarding",Non-denominational
Holland House School,"1 Broadhust Avenue, Edgware, London, HA8 8TP",HA8 8TP,020 8958 6979,Coeducational,146,Day,Non-denominational
Islamic Shakhsiyah Foundation,"1st Floor, 277 St Ann’s Road, London, N15 5RG",N15 5RG,020 8802 8651,Coeducational,108,Day,Islamic
Long Close School,"Upton Court Road, Slough, Berkshire, SL3 7LU",SL3 7LU,+44 (0)1753 520095,Coeducational,229,Day,All Faiths
Babington House School,"Grange Drive, Chislehurst, Kent, BR7 5ES",BR7 5ES,+44 (0)20 8467 5537,Coeducational,464,Day,Non-denominational
St John's School,"Potter Street Hill, Northwood, HA6 3QY",HA6 3QY,+44 (0)20 8866 0067,Boys only,341,Day,Christian
Belmont Mill Hill Preparatory School,"The Ridgeway, Mill Hill, NW7 4ED",NW7 4ED,+44 (0)20 8906 7270,Coeducational,557,Day,Non-denominational
"Moon Hall School, Reigate","Flanchford Road, Leigh, Reigate, Surrey, RH2 8RE",RH2 8RE,01306 611372,Coeducational,180,Day,Non-denominational
Dwight School London,"6 Friern Barnet Lane, Barnet, N11 3LX",N11 3LX,+44 (0)20 8920 0600,Coeducational,296,Day,All Faiths
"The King's House School, Windsor","King's House, 77 Frances Road, Windsor, Berkshire, SL4 3AQ",SL4 3AQ,01753 834850,Coeducational,44,Day,Christian
St George's School,"Windsor Castle, Windsor, Berkshire, SL4 1QF",SL4 1QF,+44 (0)1753 865553,Coeducational,333,"Day, Weekly/Flexible Boarding",Church of England
Northwood College for Girls GDST,"Maxwell Road, Northwood, HA6 2YE",HA6 2YE,+44 (0)1923 825446,Girls only,887,Day,All Faiths
Upton House School,"115 St Leonard's Road, Windsor, Berkshire, SL4 3DF",SL4 3DF,+44 (0)1753 862610,Coeducational,303,Day,Church of England
St Helen's School,"Eastbury Road, Northwood, HA6 3AS",HA6 3AS,+44 (0)1923 843210,Girls only,1197,Day,Church of England
Bromley High School GDST,"Blackbrook Lane, Bickley, Bromley, BR1 2TW",BR1 2TW,+44 (0)20 8781 7000,Girls only,892,Day,Christian
Eton College,"Eton , Windsor, Berkshire, SL4 6DW",SL4 6DW,+44 (0)1753 370100,Boys only,1344,Full Boarding,Church of England
Coworth Flexlands School,"Chertsey Rd, Chobham, Surrey, GU24 8TE",GU24 8TE,+44 (0)1276 855707,Coeducational,116,Day,Christian
St Martin's School,"40 Moor Park Road, Northwood, HA6 2DJ",HA6 2DJ,+44 (0)1923 825740,Boys only,403,Day,Church of England
St Olave's Preparatory School,"106-110 Southwood Road, New Eltham, SE9 3QS",SE9 3QS,+44 (0)20 8294 8930,Coeducational,212,Day,All Faiths
International School of Creative Arts,"Framewood Road, Wexham, Slough, Buckinghamshire, SL2 4QS",SL2 4QS,+44(0)1753 208820,Coeducational,66,Full Boarding,Non-denominational
Teikyo Foundation (UK),"Fulmer Grange, Framewood Road, Wexham, Buckinghamshire, SL2 4QS",SL2 4QS,+44 (0)1753 663711,Coeducational,28,"Day, Full Boarding",Non-denominational
Sunningdale School,"Dry Arch Road, Sunningdale, Berkshire, SL5 9PY",SL5 9PY,+44 (0)1344 620159,Boys only,99,"Day, Weekly/Flexible Boarding, Full Boarding",Christian
St Margaret's School,"Merry Hill Road, Bushey, Hertfordshire, WD23 1DT",WD23 1DT,+44 (0)20 8416 4400,Coeducational,659,"Day, Weekly/Flexible Boarding, Full Boarding",Church of England/Interdenominational
Immanuel College,"87/91 Elstree Road, Bushey, Hertfordshire, WD23 4EB",WD23 4EB,+44 (0)20 8950 0604,Coeducational,660,Day,Jewish
Farringtons School,"Perry Street, Chislehurst, Kent, BR7 6LR",BR7 6LR,+44 (0)20 8467 0256,Coeducational,697,"Day, Weekly/Flexible Boarding, Full Boarding",Methodist
The Marist School,"Kings Road, Sunninghill, Ascot, Berkshire, SL5 7PS",SL5 7PS,+44 (0)1344 624291,Girls (some boys),439,Day,Roman Catholic
St Hilda's School,"High Street, Bushey, Watford, Hertfordshire, WD23 3DA",WD23 3DA,+44 (0)20 8950 1751,Girls (some boys),142,Day,Non-denominational
Merchant Taylors' School,"Sandy Lodge, Northwood, Hertfordshire, HA6 2HT",HA6 2HT,01923 835110,Boys only,945,Day,Church of England
Islamic Shakhsiyah Foundation Slough,"Cippenham Lodge, Cippenham Lane, Slough, Berkshire, SL1 5AN",SL1 5AN,+44(0)1753 518 000,Coeducational,97,Day,Islamic
Heathermount School,"Devenish Road, Ascot, Berkshire, SL5 9PG",SL5 9PG,1344875101,,,,
Merchant Taylors’ Prep,"Moor Farm, Sandy Lodge Road, Rickmansworth, Hertfordshire, WD3 1LW",WD3 1LW,+44 (0)1923 825648,Boys only,370,Day,All Faiths
Grangewood Independent School,"Chester Road, Forest Gate, E7 8QT",E7 8QT,+44 (0)20 8472 3552,Coeducational,50,Day,Christian
Palmers Green High School,"104 Hoppers Road, Winchmore Hill, N21 3LJ",N21 3LJ,+44 (0)20 8886 1135,Girls only,253,Day,Non-denominational
